Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
322,2026-06-07 19:26:42,0.0,58.7,1743.39
323,2026-06-07 19:26:43,0.5,58.7,1743.39
324,2026-06-07 19:26:44,0.5,58.7,1743.39
325,2026-06-07 19:26:45,1.1,58.7,1743.39
326,2026-06-07 19:26:46,0.6,58.7,1743.4
327,2026-06-07 19:26:47,0.0,58.7,1742.44
328,2026-06-07 19:26:48,2.2,58.7,1741.73
329,2026-06-07 19:26:49,0.5,58.6,1740.69
330,2026-06-07 19:26:50,1.1,58.6,1739.6
331,2026-06-07 19:26:51,0.5,58.6,1738.62
332,2026-06-07 19:26:52,0.0,58.5,1737.57
333,2026-06-07 19:26:53,2.3,58.5,1736.53
334,2026-06-07 19:26:54,32.0,58.4,1733.99
335,2026-06-07 19:26:55,9.0,58.3,1731.84
336,2026-06-07 19:26:56,2.2,58.3,1731.78
337,2026-06-07 19:26:57,21.1,58.3,1730.31
338,2026-06-07 19:26:58,10.7,58.3,1730.54
339,2026-06-07 19:26:59,2.8,58.3,1729.56
340,2026-06-07 19:27:00,2.2,58.2,1728.51
341,2026-06-07 19:27:01,13.5,58.2,1727.72
342,2026-06-07 19:27:02,1.6,58.2,1726.7
343,2026-06-07 19:27:03,1.1,58.1,1725.68
344,2026-06-07 19:27:04,3.9,58.1,1724.69
345,2026-06-07 19:27:05,4.2,58.1,1723.71
346,2026-06-07 19:27:06,0.0,58.0,1722.73
347,2026-06-07 19:27:07,1.7,58.0,1721.75
348,2026-06-07 19:27:08,2.8,57.9,1720.29
349,2026-06-07 19:27:09,2.8,57.9,1719.3
350,2026-06-07 19:27:10,0.0,57.9,1718.32
351,2026-06-07 19:27:11,1.1,57.8,1717.33
352,2026-06-07 19:27:12,0.5,57.8,1716.62
353,2026-06-07 19:27:13,2.2,57.8,1715.84
354,2026-06-07 19:27:14,2.8,57.8,1714.87
355,2026-06-07 19:27:15,1.1,57.7,1713.68
356,2026-06-07 19:27:16,0.6,57.7,1712.95
357,2026-06-07 19:27:17,1.1,57.7,1711.71
358,2026-06-07 19:27:18,2.2,57.6,1710.48
359,2026-06-07 19:27:19,0.5,57.6,1709.45
